wavelength_nm,psi_deg,delta_deg
7.180000000000000000e+02,3.046007629319731791e+01,7.236088560584494189e+01
7.200000000000000000e+02,3.040178857595725148e+01,7.227409414348547045e+01
7.220000000000000000e+02,3.034394156563029554e+01,7.218707026102259761e+01
7.240000000000000000e+02,3.028654674594231366e+01,7.209977059597207472e+01
7.260000000000000000e+02,3.022959370224813114e+01,7.201224197106965619e+01
7.280000000000000000e+02,3.017307185481482534e+01,7.192453098177021786e+01
7.300000000000000000e+02,3.011697046360761831e+01,7.183668400051024605e+01
7.320000000000000000e+02,3.006127863275332857e+01,7.174874718115840722e+01
7.340000000000000000e+02,3.000598531468418173e+01,7.166076646365036140e+01
7.360000000000000000e+02,2.995107931396561796e+01,7.157278757880470721e+01
7.380000000000000000e+02,2.989654929081075707e+01,7.148485605331767090e+01
7.400000000000000000e+02,2.984238376428485751e+01,7.139701721493466380e+01
7.420000000000000000e+02,2.978855237278230206e+01,7.130931991516206381e+01
7.440000000000000000e+02,2.973504132510912257e+01,7.122175088940170440e+01
7.460000000000000000e+02,2.968186426016410806e+01,7.113426201807472182e+01
7.480000000000000000e+02,2.962903530083051606e+01,7.104680500917172026e+01
7.500000000000000000e+02,2.957656904485564198e+01,7.095933139616940366e+01
7.520000000000000000e+02,2.952448055540339311e+01,7.087179253780473687e+01
7.540000000000000000e+02,2.947278535125492382e+01,7.078413961971064339e+01
7.560000000000000000e+02,2.942149939663302405e+01,7.069632365791987638e+01
7.580000000000000000e+02,2.937063909062723255e+01,7.060829550424483614e+01
7.600000000000000000e+02,2.932022125619689135e+01,7.052000585354069528e+01
7.620000000000000000e+02,2.927025247862744806e+01,7.043146701802945131e+01
7.640000000000000000e+02,2.922071221625577664e+01,7.034274695167646030e+01
7.660000000000000000e+02,2.917157678595657089e+01,7.025387967965991720e+01
7.680000000000000000e+02,2.912282233870007531e+01,7.016489920081674825e+01
7.700000000000000000e+02,2.907442486297411577e+01,7.007583948872724022e+01
7.720000000000000000e+02,2.902636018767057280e+01,6.998673449387892731e+01
7.740000000000000000e+02,2.897860398443101104e+01,6.989761814693355291e+01
7.760000000000000000e+02,2.893113176944506293e+01,6.980852436312086695e+01
7.780000000000000000e+02,2.888391890469686984e+01,6.971948704778358774e+01
7.800000000000000000e+02,2.883694059865311132e+01,6.963054010309741670e+01
7.820000000000000000e+02,2.879018827524373592e+01,6.954166448533902667e+01
7.840000000000000000e+02,2.874367763644473328e+01,6.945282041722931865e+01
7.860000000000000000e+02,2.869742028055226157e+01,6.936401054986930603e+01
7.880000000000000000e+02,2.865142792262795268e+01,6.927523732960550262e+01
7.900000000000000000e+02,2.860571239400273313e+01,6.918650299742240861e+01
7.920000000000000000e+02,2.856028564156916616e+01,6.909780958875158774e+01
7.940000000000000000e+02,2.851515972686161859e+01,6.900915893370259369e+01
7.960000000000000000e+02,2.847034682492196112e+01,6.892055265772245320e+01
7.980000000000000000e+02,2.842585922295047141e+01,6.883199218268991615e+01
8.000000000000000000e+02,2.838170931874044811e+01,6.874347872845011409e+01
