wavelength_nm,psi_deg,delta_deg,alpha,beta,chi,xi,energy_conservation
596.000000,35.236215,76.783792,-0.828281,0.000000,-0.097259,0.150875,0.552378
598.000000,35.130031,76.737307,-0.826858,0.000000,-0.097446,0.152419,0.553228
600.000000,35.025341,76.689315,-0.825425,0.000000,-0.097642,0.153937,0.554066
602.000000,34.922087,76.639939,-0.823985,0.000000,-0.097847,0.155429,0.554893
604.000000,34.820158,76.589300,-0.822537,0.000000,-0.098059,0.156898,0.555708
606.000000,34.719512,76.537404,-0.821082,0.000000,-0.098279,0.158344,0.556512
608.000000,34.620107,76.484260,-0.819619,0.000000,-0.098506,0.159768,0.557306
610.000000,34.521903,76.429873,-0.818150,0.000000,-0.098740,0.161170,0.558089
612.000000,34.424860,76.374247,-0.816673,0.000000,-0.098981,0.162551,0.558862
614.000000,34.328940,76.317385,-0.815189,0.000000,-0.099230,0.163911,0.559626
616.000000,34.234106,76.259289,-0.813698,0.000000,-0.099485,0.165252,0.560380
618.000000,34.140322,76.199959,-0.812199,0.000000,-0.099748,0.166574,0.561125
620.000000,34.047553,76.139396,-0.810694,0.000000,-0.100017,0.167877,0.561862
622.000000,33.955802,76.077587,-0.809181,0.000000,-0.100294,0.169161,0.562590
624.000000,33.865078,76.014579,-0.807662,0.000000,-0.100577,0.170427,0.563309
626.000000,33.775359,75.950453,-0.806137,0.000000,-0.100867,0.171674,0.564020
628.000000,33.686619,75.885289,-0.804608,0.000000,-0.101162,0.172903,0.564722
630.000000,33.598836,75.819166,-0.803074,0.000000,-0.101462,0.174116,0.565416
632.000000,33.511983,75.752164,-0.801538,0.000000,-0.101766,0.175311,0.566101
634.000000,33.426037,75.684360,-0.799998,0.000000,-0.102075,0.176490,0.566778
636.000000,33.340973,75.615831,-0.798457,0.000000,-0.102387,0.177653,0.567446
638.000000,33.256765,75.546654,-0.796915,0.000000,-0.102702,0.178801,0.568106
640.000000,33.173388,75.476903,-0.795372,0.000000,-0.103020,0.179934,0.568757
642.000000,33.090826,75.406615,-0.793828,0.000000,-0.103339,0.181053,0.569401
644.000000,33.009070,75.335762,-0.792284,0.000000,-0.103662,0.182157,0.570036
646.000000,32.928111,75.264327,-0.790740,0.000000,-0.103986,0.183247,0.570664
648.000000,32.847937,75.192293,-0.789194,0.000000,-0.104314,0.184323,0.571283
650.000000,32.768538,75.119642,-0.787648,0.000000,-0.104644,0.185385,0.571896
652.000000,32.689907,75.046356,-0.786101,0.000000,-0.104977,0.186434,0.572501
654.000000,32.612035,74.972415,-0.784554,0.000000,-0.105313,0.187469,0.573099
656.000000,32.534915,74.897799,-0.783005,0.000000,-0.105652,0.188490,0.573691
658.000000,32.458541,74.822489,-0.781455,0.000000,-0.105994,0.189498,0.574275
660.000000,32.382906,74.746464,-0.779903,0.000000,-0.106339,0.190492,0.574853
662.000000,32.307997,74.669723,-0.778351,0.000000,-0.106687,0.191474,0.575425
664.000000,32.233794,74.592312,-0.776797,0.000000,-0.107039,0.192443,0.575990
666.000000,32.160287,74.514288,-0.775243,0.000000,-0.107393,0.193399,0.576549
668.000000,32.087463,74.435703,-0.773689,0.000000,-0.107749,0.194343,0.577102
670.000000,32.015310,74.356612,-0.772136,0.000000,-0.108107,0.195276,0.577648
672.000000,31.943815,74.277067,-0.770583,0.000000,-0.108467,0.196197,0.578188
674.000000,31.872967,74.197121,-0.769032,0.000000,-0.108828,0.197106,0.578722
676.000000,31.802751,74.116827,-0.767483,0.000000,-0.109190,0.198004,0.579249
678.000000,31.733157,74.036235,-0.765936,0.000000,-0.109552,0.198892,0.579771
680.000000,31.664170,73.955398,-0.764392,0.000000,-0.109915,0.199769,0.580286
682.000000,31.595773,73.874351,-0.762851,0.000000,-0.110278,0.200636,0.580795
684.000000,31.527953,73.793079,-0.761312,0.000000,-0.110641,0.201494,0.581298
686.000000,31.460706,73.711557,-0.759776,0.000000,-0.111004,0.202341,0.581795
688.000000,31.394031,73.629757,-0.758242,0.000000,-0.111367,0.203178,0.582286
690.000000,31.327924,73.547654,-0.756711,0.000000,-0.111732,0.204006,0.582772
692.000000,31.262385,73.465220,-0.755181,0.000000,-0.112097,0.204824,0.583253
694.000000,31.197413,73.382428,-0.753653,0.000000,-0.112463,0.205632,0.583728
696.000000,31.133006,73.299250,-0.752127,0.000000,-0.112830,0.206430,0.584199
698.000000,31.069166,73.215659,-0.750603,0.000000,-0.113198,0.207218,0.584664
700.000000,31.005891,73.131625,-0.749079,0.000000,-0.113568,0.207997,0.585124
702.000000,30.943181,73.047179,-0.747558,0.000000,-0.113939,0.208766,0.585580
704.000000,30.881021,72.962381,-0.746038,0.000000,-0.114311,0.209525,0.586030
706.000000,30.819397,72.877256,-0.744521,0.000000,-0.114684,0.210275,0.586476
708.000000,30.758294,72.791826,-0.743006,0.000000,-0.115058,0.211016,0.586917
710.000000,30.697697,72.706113,-0.741494,0.000000,-0.115431,0.211749,0.587353
712.000000,30.637592,72.620141,-0.739984,0.000000,-0.115806,0.212473,0.587785
714.000000,30.577963,72.533931,-0.738476,0.000000,-0.116180,0.213190,0.588212
716.000000,30.518796,72.447505,-0.736972,0.000000,-0.116554,0.213898,0.588634
718.000000,30.460076,72.360886,-0.735469,0.000000,-0.116929,0.214599,0.589053
720.000000,30.401789,72.274094,-0.733970,0.000000,-0.117303,0.215292,0.589466
722.000000,30.343942,72.187070,-0.732473,0.000000,-0.117677,0.215978,0.589876
724.000000,30.286547,72.099771,-0.730978,0.000000,-0.118051,0.216656,0.590282
726.000000,30.229594,72.012242,-0.729486,0.000000,-0.118426,0.217327,0.590683
728.000000,30.173072,71.924531,-0.727996,0.000000,-0.118800,0.217991,0.591081
730.000000,30.116970,71.836684,-0.726510,0.000000,-0.119175,0.218647,0.591474
732.000000,30.061279,71.748747,-0.725027,0.000000,-0.119548,0.219297,0.591864
734.000000,30.005985,71.660766,-0.723548,0.000000,-0.119920,0.219940,0.592249
736.000000,29.951079,71.572788,-0.722073,0.000000,-0.120291,0.220577,0.592630
738.000000,29.896549,71.484856,-0.720603,0.000000,-0.120661,0.221208,0.593007
740.000000,29.842384,71.397017,-0.719137,0.000000,-0.121029,0.221833,0.593380
742.000000,29.788552,71.309320,-0.717676,0.000000,-0.121395,0.222453,0.593749
744.000000,29.735041,71.221751,-0.716219,0.000000,-0.121759,0.223068,0.594114
746.000000,29.681864,71.134262,-0.714766,0.000000,-0.122121,0.223678,0.594476
748.000000,29.629035,71.046805,-0.713318,0.000000,-0.122482,0.224281,0.594834
750.000000,29.576569,70.959331,-0.711873,0.000000,-0.122842,0.224879,0.595188
752.000000,29.524481,70.871793,-0.710433,0.000000,-0.123201,0.225471,0.595539
754.000000,29.472785,70.784140,-0.708995,0.000000,-0.123559,0.226057,0.595886
756.000000,29.421499,70.696324,-0.707561,0.000000,-0.123918,0.226636,0.596230
758.000000,29.370639,70.608296,-0.706130,0.000000,-0.124276,0.227208,0.596570
760.000000,29.320221,70.520006,-0.704702,0.000000,-0.124636,0.227773,0.596907
762.000000,29.270252,70.431467,-0.703277,0.000000,-0.124995,0.228331,0.597241
764.000000,29.220712,70.342747,-0.701856,0.000000,-0.125355,0.228881,0.597571
766.000000,29.171577,70.253880,-0.700438,0.000000,-0.125715,0.229426,0.597898
768.000000,29.122822,70.164899,-0.699024,0.000000,-0.126074,0.229964,0.598222
770.000000,29.074425,70.075839,-0.697613,0.000000,-0.126433,0.230497,0.598543
772.000000,29.026360,69.986734,-0.696206,0.000000,-0.126790,0.231025,0.598861
774.000000,28.978604,69.897618,-0.694802,0.000000,-0.127147,0.231547,0.599175
776.000000,28.931132,69.808524,-0.693402,0.000000,-0.127503,0.232065,0.599487
778.000000,28.883919,69.719487,-0.692006,0.000000,-0.127857,0.232579,0.599796
780.000000,28.836941,69.630540,-0.690613,0.000000,-0.128209,0.233090,0.600103
782.000000,28.790188,69.541664,-0.689223,0.000000,-0.128559,0.233597,0.600406
784.000000,28.743678,69.452820,-0.687837,0.000000,-0.128909,0.234100,0.600707
786.000000,28.697420,69.364011,-0.686454,0.000000,-0.129257,0.234599,0.601005
788.000000,28.651428,69.275237,-0.685074,0.000000,-0.129603,0.235093,0.601301
790.000000,28.605712,69.186503,-0.683699,0.000000,-0.129949,0.235584,0.601594
792.000000,28.560286,69.097810,-0.682327,0.000000,-0.130293,0.236070,0.601884
794.000000,28.515160,69.009159,-0.680959,0.000000,-0.130635,0.236552,0.602172
796.000000,28.470347,68.920553,-0.679596,0.000000,-0.130977,0.237029,0.602457
798.000000,28.425859,68.831992,-0.678237,0.000000,-0.131318,0.237501,0.602739
800.000000,28.381709,68.743479,-0.676882,0.000000,-0.131657,0.237968,0.603018
